nome,indice,latitude,longitude,raio
Polygon 372,1693,-23.56134470559099,-47.09331592623527,1000
Polygon 323,2165,-22.43871167039099,-48.168486966435275,1000
Polygon 889,889,-16.96621952459099,-50.41693260007638,1000
Polygon 889,889,-16.95721051558198,-50.440338692070554,1000
Polygon 889,889,-16.94820150657297,-50.448140722735275,1000
Polygon 028,1769,-20.450503851681983,-54.523024858041104,1000
Polygon 028,1769,-20.459512860690992,-54.530826888705825,1000
Polygon 872,872,-14.02003605349099,-49.17962761983527,1000
Polygon 868,868,-16.79061907889099,-49.121679818435275,1000
Polygon 368,1689,-23.285128146590992,-46.875995640685275,1000
Polygon 367,1688,-23.23850234139099,-45.83666196513527,1000
Polygon 366,1687,-23.192331983331982,-45.788096862570555,1000
Polygon 366,1687,-23.20134099234099,-45.78029483190583,1000
Polygon 366,1687,-23.183322974322973,-45.795898893235275,1000
Polygon 852,852,-16.569055757972972,-49.384202605005825,1000
Polygon 852,852,-16.58707377599099,-49.384202605005825,1000
Polygon 852,852,-16.58707377599099,-49.39980666633527,1000
Polygon 319,2163,-21.89317532589099,-49.02369288723527,1000
Polygon 085,1406,-23.304701177191,-46.180253749535275,1000
Polygon 365,1686,-23.47078639079099,-47.17210387233527,1000
Polygon 243,1245,-22.00871842468198,-51.55410182187055,1000
Polygon 243,1245,-22.01772743369099,-51.546299791205826,1000
Polygon 243,1245,-21.99970941567297,-51.56190385253527,1000
Polygon 040,1781,-20.14852094769099,-51.00049596253528,1000
Polygon 846,846,-16.77176324429099,-49.25530664323527,1000
Polygon 246,1248,-20.25465883249099,-50.23223696863527,1000
Polygon 355,1676,-23.42700933749099,-46.34754797068527,1000
Polygon 045,1786,-20.73119982439099,-51.594865905335276,1000
Polygon 250,1252,-21.256193093090992,-50.31943065403528,1000
Polygon 348,1669,-23.41117299099099,-46.97783096933527,1000
Polygon 050,1791,-21.16678811799099,-51.045520680835274,1000
Polygon 053,1794,-20.414382876572972,-51.33430275570583,1000
Polygon 053,1794,-20.42339188558198,-51.342104786370555,1000
Polygon 053,1794,-20.43240089459099,-51.33430275570583,1000
Polygon 053,1794,-20.43240089459099,-51.349906817035276,1000
Polygon 347,1668,-23.52431396531396,-46.331217551511656,1000
Polygon 347,1668,-23.488277929277924,-46.346821612841104,1000
Polygon 347,1668,-23.497286938286933,-46.33901958217638,1000
Polygon 347,1668,-23.506295947295943,-46.346821612841104,1000
Polygon 347,1668,-23.515304956304952,-46.33901958217638,1000
Polygon 347,1668,-23.52431396531396,-46.346821612841104,1000
Polygon 347,1668,-23.53332297432297,-46.33901958217638,1000
Polygon 844,844,-17.737040863554952,-48.572995588188036,1000
Polygon 844,844,-17.75505888157297,-48.61980777217638,1000
Polygon 844,844,-17.76406789058198,-48.62760980284111,1000
Polygon 844,844,-17.77307689959099,-48.61980777217638,1000
Polygon 844,844,-17.719022845536934,-48.63541183350583,1000
Polygon 844,844,-17.728031854545943,-48.643213864170555,1000
Polygon 844,844,-17.737040863554952,-48.63541183350583,1000
Polygon 055,1796,-21.22210149278198,-50.865468120020545,1000
